dis,sta,add,das,state,cha,fee,way,ope,sty,no,Latitude,Longitude
新店區,昇宏車業有限公司,新店區安康路3段28號1F,機車經銷商,良好,否,不收費,無,是,充電座,1,24.953285,121.4930702
新店區,真亨車業有限公司,新店區順安街21號1樓,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9856178,121.5408472
新莊區,榮鋒科技企業有限公司,新北市新莊區新北大道二段360 號,機車經銷商,良好,否,不收費,無,是,充電座,1,25.0609913,121.4625143
新莊區,昇億機車行,新北市新莊區中平路82巷32號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0446678,121.4461625
新莊區,五洲機車有限公司,新北市新莊區中正路346號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.03455,121.444169
新莊區,SYM新北市服務中心,新北市新莊區中正路57號,機車經銷商,良好,否,不收費,無,是,充電座,3,24.9997161,121.4267417
新莊區,巨陽車業行,新北市新莊區中和街90號1F,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0466903,121.4477245
新莊區,桄昇車業有限公司,新北市新莊區思源路165號一樓,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0448834,121.4596448
新莊區,昇旺國際車業有限公司,新北市新莊區復興路二段18號一樓,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0438931,121.4541708
樹林區,勝龍車業行,新北市樹林區大成路1、3號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9447845,121.3824718
樹林區,樹福車業有限公司,新北市樹林區中山路一段54號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9921116,121.4236535
樹林區,泰利車業行,新北市樹林區太元街36號,機車經銷商,良好,否,不收費,無,是,插頭式,2,24.9800388,121.4181099
樹林區,裕晟機車有限公司,新北市樹林區太元街64號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9792933,121.4185646
樹林區,昇豐車業行,新北市樹林區太平路150巷7號,機車經銷商,良好,否,不收費,無,是,無,1,24.9776314,121.4182292
樹林區,駿億車業有限公司,新北市樹林區保安二街43號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9941186,121.4247257
樹林區,譽盛機車有限公司,新北市樹林區鎮前街271-3號,機車經銷商,良好,否,不收費,無,是,充電座,4,24.9857709,121.4197882
蘆洲區,萬達車業行,新北市蘆洲區中華街74號,機車經銷商,良好,否,不收費,無,是,充電座,2,25.0797536,121.4612402
鶯歌區,景陽車業有限公司,新北市鶯歌區中正三路341號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9351085,121.328039
鶯歌區,陽全車業有限公司,新北市鶯歌區文化路385號,機車經銷商,良好,否,不收費,無,是,充電座,2,24.9506262,121.3524663
汐止區,郭賜美車業,新北市汐止區大同路二段669號,機車經銷商,良好,否,不收費,無,是,充電座,4,25.071995,121.6648484
新莊區,必榮機車材料行,新北市新莊區民安西路365號,機車經銷商,良好,是,10元/次,,是,無,1,25.010475,121.4287
淡水區,永群車業有限公司,新北市淡水區中山北路一段245號,機車經銷商,良好,是,10元/次,,是,充電座,1,25.1801379,121.4444733
林口區,林口車業有限公司,新北市林口區林口路52號,機車經銷商,良好,是,10元/次,,是,充電座,2,25.0790603,121.3905015
泰山區,威騎車業有限公司,新北市泰山區泰林路二段593號,機車經銷商,良好,否,不收費,,否,無,1,25.0634128,121.4217375
新店區,祥義車業有限公司,新北市新店區碧安街7巷9號,機車經銷商,良好,是,10元/次,,是,無,2,24.9679659,121.5167337
瑞芳區,瑞輪車業有限公司,新北市瑞芳區明燈路三段74號,機車經銷商,良好,是,10元/次,,是,充電座,2,25.1081613,121.8064253
新莊區,裕大車業有限公司,新北市新莊區新泰路339號,機車經銷商,良好,是,10元/次,,是,充電座,2,25.0419436,121.444698
中和區,豪呈機車有限公司,新北市中和區成功路109號一樓,機車經銷商,良好,是,10元/次,,是,充電座,2,24.9912367,121.5259674
萬里區,台順車業有限公司,新北市萬里區瑪鋉路290號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.1814038,121.6885815
永和區,永欣車業有限公司,新北市永和區中山路一段82-86號,機車經銷商,良好,否,不收費,無,是,充電箱,1,25.0109886,121.5120759
淡水區,立冠車業有限公司,新北市淡水區中山路137-1號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.1714611,121.4408363
新店區,全新車業有限公司,新北市新店區安康路二段3-3號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,24.9635331,121.5155179
新店區,吉興車業行,新北市新店區北新路一段331號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,24.9686303,121.541572
板橋區,有利車業有限公司,新北市板橋區互助街94號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.0262557,121.4601467
汐止區,宏升機車有限公司,新北市汐止區大同路二段503號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.0687621,121.6609803
三重區,和昌輪業有限公司,新北市三重區車路頭街33號,機車經銷商,良好,是,50元/次,人工收費,是,充電箱,4,25.0708295,121.4838645
永和區,和欣機車有限公司,新北市永和區中正路653號,機車經銷商,良好,是,10元/次,無,是,插頭式,2,25.0100853,121.5150734
土城區,東泰發車業有限公司,新北市土城區清水路240號,機車經銷商,良好,是,30元/次,人工收費,是,充電箱,4,24.982608,121.4612378
三重區,金和機車有限公司,新北市三重區過圳街86號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.0618541,121.4864959
瑞芳區,金泰發車業有限公司,新北市瑞芳區中山路174號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.1067641,121.8018427
三重區,冠億輪業有限公司,新北市三重區民生街84.86號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.0655313,121.4906728
土城區,昱盛車業有限公司,新北市土城區明德路二段127號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,24.9822023,121.4498252
樹林區,偉鼎車業有限公司,新北市樹林區中正路662號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.0167781,121.4098032
土城區,祥利車業企業社,新北市土城區延平街73號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,24.9930318,121.4676189
汐止區,祥寶車業股份有限公司,新北市汐止區康寧街356號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.0675296,121.6282149
新莊區,順展車業有限公司,新北市新莊區昌平街7號,機車經銷商,良好,否,不收費,無,是,充電箱,4,25.0516338,121.4546934
淡水區,順億車業有限公司,新北市淡水區學府路3號,機車經銷商,良好,否,不收費,無,是,插頭式,1,25.167826,121.4472025
新店區,萬里新輪業有限公司,新北市新店區安康路1段125號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,24.963133,121.5140801
汐止區,儀芳車業行,新北市汐止區連興街144號,機車經銷商,良好,是,未提供,小時收費,是,插頭式,2,25.061452,121.6539639
板橋區,燦贏實業有限公司,新北市板橋區英士路17號,機車經銷商,良好,否,不收費,無,是,充電箱,4,25.0250684,121.4618986
三重區,鴻寶車業有限公司,新北市三重區重安街102號,機車經銷商,良好,是,10元/次,人工計費,是,插頭式,2,25.0559077,121.4930231
新店區,鶴山輪業有限公司,新北市新店區中興路一段186號,機車經銷商,良好,是,50元/次,小時收費,是,插頭式,8,24.9648682,121.5433916
三重區,家樂福重新店,新北市三重區重新路五段654號,賣場,良好,是,10元/次,投幣,是,充電座,1,25.0432729,121.4675175
汐止區,家樂福汐止店,新北市汐止區新台五路一段108號B1,賣場,良好,是,10元/次,投幣,是,充電箱,2,25.0607986,121.6483007
新店區,家樂福新店店,新北市新店區中興路三段1號,賣場,良好,是,10元/次,投幣,是,充電箱,2,24.9761494,121.5467199
樹林區,家樂福北大店,新北市樹林區大雅路228號B1,賣場,良好,是,10元/次,投幣,是,充電箱,2,24.9460191,121.3802934
樹林區,家樂福樹林店,新北市樹林區大安路118號,賣場,良好,是,10元/次,投幣,是,充電箱,2,24.9973154,121.4214216
中和區,家樂福中和店,新北市中和區中山路二段295號B1,賣場,良好,是,10元/次,投幣,是,充電箱,3,25.0018853,121.4960574
新店區,中興低碳立體停車場,新北市新店區中興路三段6號,公有停車場,良好,否,不收費,無,是,插頭式,9,24.9771274,121.547303
三峽區,北大體育場停車場,新北市 三峽區復興路341號對面地下停車場,公有停車場,良好,否,不收費,無,是,插頭式,8,24.9385969,121.364212
板橋區,特專三停車場,板橋區縣民大道與站前路口,公有停車場,良好,否,不收費,無,是,充電箱,10,25.0151566,121.4664451
中和區,中和民德停車場,新北市中和區民德路188號,公有停車場,良好,否,不收費,無,是,插頭式,5,24.9992259,121.4683256
板橋區,台北簡易紙廠,新北市板橋區大觀路二段28號,公有停車場,良好,否,不收費,無,是,插頭式,13,25.0027745,121.444435
烏來區,烏來立體停車場,新北市烏來區烏來街47號1樓,公有停車場,良好,否,不收費,無,是,插頭式,6,24.8656702,121.5515398
蘆洲區,鷺江國民中學地下停車場,新北市蘆洲區長興路300號,公有停車場,良好,否,不收費,無,是,插頭式,2,25.0903389,121.4607655
泰山區,楓樹腳公園地下停車場,新北市泰山區楓江路26巷20號,公有停車場,良好,否,不收費,無,是,插頭式,2,25.0621334,121.4342021
三重區,正義國小地下停車場,新北市三重區信義西街31號,公有停車場,良好,否,不收費,無,是,插頭式,4,25.0645459,121.4961138
三重區,永福國小地下停車場,三重區永福街66號,公有停車場,良好,否,不收費,無,是,無,2,25.0770435,121.4806326
中和區,中和國小停車場,新北市中和區景平路632-8號B1-B2,公有停車場,良好,否,不收費,無,是,無,4,24.9985714,121.4999099
中和區,中和秀山公園地下停車場,中和區自立路15巷12號B1及B2,公有停車場,良好,否,不收費,無,是,無,5,24.9956911,121.5235949
中和區,公有民享市場地下停車場,中和區民享街37號B1,公有停車場,良好,否,不收費,無,是,無,2,25.00354,121.474151
五股區,五股區工商路立體停車場,五股區工商路3號,公有停車場,良好,否,不收費,無,是,無,2,25.0831794,121.4391675
林口區,林口區停三停車場,林口區中山路99號,公有停車場,良好,否,不收費,無,是,無,2,25.0787529,121.3892843
淡水區,淡水文化機車立體停車場,新北市淡水區文化路57號,公有停車場,良好,否,不收費,無,是,無,23,25.1726548,121.4387431
樹林區,聯永物業股份有限公司臺北大學停一站停車場,樹林區大義路與學城路口,公有停車場,良好,否,不收費,無,是,無,2,24.9440562,121.3784753
三重區,溪美立體停車場,新北市三重區自強路4段55號,公有停車場,良好,否,不收費,無,是,無,2,25.078643,121.490633
汐止區,城中平面停車場,新北市汐止區建成路47號,公有停車場,良好,否,不收費,無,是,無,2,25.0731639,121.6627426
板橋區,華東停車場,新北市板橋區南雅南路二段144巷,公有停車場,良好,否,不收費,無,是,無,2,24.9956555,121.4508225
蘆洲區,家樂福蘆洲店,新北市三重區五華街282號,賣場,良好,是,10元/次,投幣,是,充電箱,1,25.0879589,121.4864991
林口區,家樂福林口店,新北市林口區文化二路一段 559 號 B1,賣場,良好,是,10元/次,投幣,是,充電箱,1,25.0776542,121.3739531
泰山區,義學立體停車場,新北市泰山區明志路二段188號,公有停車場,良好,否,不收費,無,是,無,2,25.0499925,121.4274469
鶯歌區,建國路停一停車場,新北市鶯歌區建國路66號旁空地,公有停車場,良好,否,不收費,無,是,無,2,24.9554151,121.35513
鶯歌區,老街第二停車場,新北市鶯歌區尖山埔路295號旁空地,公有停車場,良好,否,不收費,無,是,無,2,24.9495595,121.3434969
坪林區,坪林區水柳腳立體停車場,新北市坪林區水柳腳34之1號,公有停車場,良好,否,不收費,無,是,無,2,24.935442,121.7104609
五股區,成洲停車場,五股區成泰路三段320號旁,公有停車場,良好,否,不收費,無,是,無,2,25.0972246,121.4498708
鶯歌區,三號公園前尖山埔路停車場,鶯歌區三號公園前尖山埔路,公有停車場,良好,否,不收費,無,是,無,2,24.953491,121.347488
三峽區,三峽國小地下停車場,新北市三峽區中山路16號,公有停車場,良好,否,不收費,,否,插頭式,4,24.9345806,121.3700769
新店區,新店北新公有停車場,新北市新店區北新路一段92號B1及B2,公有停車場,良好,否,不收費,,是,無,2,24.9688222,121.5420111
土城區,土城區莒光四村平面停車場,新北市土城區中央路1段189巷口南側,公有停車場,良好,否,不收費,,是,無,2,24.9735513,121.4353725
板橋區,板橋新海抽水站平面停車場,新北市板橋區中正路511號,公有停車場,良好,否,不收費,,是,插頭式,2,25.0276864,121.4553133
淡水區,中正市場機車停車場,新北市淡水區中正路115號b1,公有停車場,良好,無,不收費,無,是,充電箱,2,25.1700261,121.4397925
淡水區,中山市場機車停車場,新北市淡水區中山路77號2樓,公有停車場,良好,無,不收費,無,是,充電箱,2,25.1704078,121.4427128
板橋區,新北市政府市民廣場地下停車場,新北市板橋區中山路一段161號,公有停車場,良好,否,不收費,無,是,充電箱,20,25.0122436,121.4653462
三重區,光興國小地下停車場,新北市三重區正義南路62號,公有停車場,良好,否,不收費,無,是,插頭式,10,25.0594536,121.4993049
瑞芳區,瑞芳區消防分隊前汽車平面停車場(嘟嘟房瑞芳站),新北市瑞芳區中正路30號對面,公有停車場,良好,否,不收費,無,是,,2,25.1072863,121.8074429
土城區,延吉立體停車場,新北市土城區德峰街65號,公有停車場,良好,否,不收費,無,是,,2,24.9859282,121.4678118
土城區,中洲平面停車場,新北市土城區中洲路11號對面空地,公有停車場,良好,否,不收費,無,是,,10,24.957509,121.4141151
新莊區,新莊區新莊國民中學地下停車場,新北市新莊區景德街138號,公有停車場,良好,否,不收費,無,是,,2,24.991089,121.5144311
三重區,二重國中地下停車場,新北市三重區忠孝路3段89號B1、B2?,公有停車場,良好,否,不收費,無,是,,2,25.0656964,121.4803284
三重區, 碧華國小地下停車場,新北市三重區五華街160號B1、B2,公有停車場,良好,否,不收費,無,是,,2,25.0844282,121.4906712
板橋區,板橋區重慶公園地下停車場,新北市板橋區重慶路265號B1、B2,公有停車場,良好,否,不收費,無,是,,2,24.999861,121.4637284
板橋區,新北市板橋區新北市立圖書館地下停車場,新北市板橋區貴興路139號B1~B3,公有停車場,良好,否,不收費,無,是,,20,25.0013933,121.4550959
永和區,永和國小地下停車場,新北市永和區中正路412巷對面入口,公有停車場,良好,否,不收費,無,是,,2,25.002062,121.5177989
新莊區,中環站停車場,新北市新莊區中環路2段48之8號斜對面,公有停車場,良好,否,不收費,無,是,,4,25.0442514,121.4420336
新莊區,後港新公園地下停車場,新北市新莊區後港一路19號B1,公有停車場,良好,否,不收費,無,是,,4,25.0260716,121.4240119
板橋區,大漢停車場,新北市板橋區民生路3段119號對面,公有停車場,良好,否,不收費,無,是,,12,25.0256165,121.4661709
三峽區,三角湧平面停車場,新北市三峽區中華路與中華路3巷交叉口,公有停車場,良好,否,不收費,無,是,插頭式,4,24.9328033,121.3746467
三峽區,光明平面停車場,新北市三峽區光明路39號之1,公有停車場,良好,否,不收費,無,是,插頭式,2,24.9307927,121.3737448
三峽區,長福平面停車場,新北市三峽區光明路1號,公有停車場,良好,否,不收費,無,是,插頭式,2,24.932318,121.372256
三峽區,防災公園平面停車場,新北市三峽區國光街60號,公有停車場,良好,否,不收費,無,是,插頭式,4,24.9385908,121.3740816
板橋區, 板橋國小地下停車場,板橋區文化路一段23號B1~B3,公有停車場,良好,否,不收費,無,是,插頭式,2,25.0108349,121.4581976
板橋區, 板橋國中地下停車場,板橋區中正路437號B1,公有停車場,良好,否,不收費,無,是,插頭式,2,25.0240328,121.4542122
林口區,新北市林口區機一臨時平面停車場,新北市林口區文化三路1段與忠孝三路交叉口,公有停車場,良好,否,不收費,無,是,插頭式,4,25.0723196,121.3655764
新店區, 新店區新店高中地下停車場,新店區中央路93號B1、B2,公有停車場,良好,否,不收費,無,是,插頭式,2,24.9756196,121.5320259
新店區,三民地下停車場,新北市新店區三民路20-1號,公有停車場,良好,否,不收費,無,是,插頭式,2,24.9710424,121.537346
汐止區,汐止國民運動中心停車場,新北市汐止區汐科路321號,公有停車場,良好,否,不收費,無,是,插頭式,2,25.0652071,121.65723
淡水區,新北市淡水區市民聯合服務中心地下停車場,新北市淡水區中山北路2段375號,公有停車場,良好,否,不收費,無,是,插頭式,2,25.1869858,121.4437431
三重區, 聯邦地下停車場,新北市三重區中華路125號B2,公有停車場,良好,否,不收費,無,是,插頭式,5,25.0639327,121.4837771
蘆洲區,新北市蘆洲區鴨母港抽水站平面停車場,新北市蘆洲區永安南路與環堤大道交叉處及永安南路與長安街223巷交叉處,公有停車場,良好,否,不收費,無,是,插頭式,5,25.0827875,121.4559626
板橋區, 新北市板橋區華翠橋下H、I、K平面停車場,新北市板橋區華翠橋下(新北市板橋區富山街至太和街間),公有停車場,良好,否,不收費,無,是,插頭式,2,25.0212753,121.4751739
三重區,新北市三重區龍門路274巷51號對面,三德公園機車專用停車格,公有停車格,良好,否,不收費,無,是,插頭式,3,25.0753472,121.5008907
八里區,新北市八里區龍米路2段150號隔壁, 新北市八里區龍米平面停車場,公有停車場,良好,否,不收費,無,是,插頭式,10,25.1320168,121.4525765
土城區,新北市土城區學成路81號B1~B3,學成公園地下停車場,公有停車場,良好,否,不收費,無,是,插頭式,5,24.9879679,121.4511998
板橋區,新北市板橋區陽明街166號1F及B1~B3,板橋四維公園地下停車場,公有停車場,良好,否,不收費,無,是,插頭式,3,25.0256176,121.4639455
貢寮區,新北市貢寮區仁愛路43號B1,貢寮澳底公園地下停車場,公有停車場,良好,否,不收費,無,是,插頭式,3,25.0535257,121.9252256
新莊區,新北市新莊區四維路95號, 新北市新莊區四維立體停車場,公有停車場,良好,否,不收費,無,是,插頭式,2,25.0238594,121.4235
新店區,新北市新店區三民路161號B1、B2, 新店高中停車場,公有停車場,良好,否,不收費,無,是,插頭式,6,24.9742319,121.5341234
三重區,三重區永福街66號地下1至地下2層, 永福國小地下停車場,公有停車場,良好,否,不收費,無,是,插頭式,2,25.0775352,121.4798061
三重區,新北市三重區河邊北街70號對面，位於環河北路近開元公園至環河北路128巷,新北市三重區環河快速高架橋下平面停車場,公有停車場,良好,否,不收費,無,是,插頭式,10,25.0545227,121.5075047
中和區,新北市中和區員山路154號B1、B2, 積穗國小地下停車場,公有停車場,良好,否,不收費,無,是,插頭式,10,24.9992287,121.4821015
板橋區,新北市板橋區文化路2段413號B1、B2, 江翠國小地下停車場,公有停車場,良好,否,不收費,無,是,插頭式,9,25.0332564,121.4738338
三重區,新北市三重區公園街32地號, 龍門公園地下停車場,公有停車場,良好,否,不收費,無,是,插頭式,2,25.0743227,121.4984694
三重區,新北市三重區五華街7巷30號, 五常公園地下停車場,公有停車場,良好,否,不收費,無,是,插頭式,2,34.798664,135.6464687
三重區,新北市三重區中華路125號B2、B3, 聯邦地下停車場,公有停車場,良好,否,不收費,無,是,插頭式,5,25.0639415,121.4837993
三重區,新北市三重區永福街10巷8號B1~B3,新北市三重區力行地下停車場,公有停車場,良好,否,不收費,無,是,插頭式,10,25.0778258,121.4829104
中和區,新北市中和區景新街399巷12號,中和景新立體停車場 ,公有停車場,良好,否,不收費,無,是,插頭式,5,24.9962178,121.4853103
永和區,新北市永和區文化路133號,頂溪國小地下停車場 ,公有停車場,良好,否,不收費,無,是,插頭式,6,25.0149574,121.5112023
汐止區,新北市汐止區茄苳路112號對面, 新北市汐止區崇德平面停車場 ,公有停車場,良好,否,不收費,無,是,插頭式,2,25.07045,121.6681213
淡水區,新北市淡水區民生路27-1號,民生立體車場,公有停車場,良好,否,不收費,無,是,插頭式,10,25.0584021,121.5596168
新店區,新北市新店區寶橋路10號,寶橋立體停車場,公有停車場,良好,否,不收費,無,是,插頭式,10,24.974504,121.545719
新莊區,新北市新莊區景德街138號,新莊區新莊國民中學地下停車場,公有停車場,良好,否,不收費,無,是,插頭式,5,25.0342778,121.4513198
鶯歌區,新北市鶯歌區重慶街30號旁,鶯歌區三號公園(重慶街)平面停車場 ,公有停車場,良好,否,不收費,無,是,插頭式,2,24.953491,121.347488
